acctno,monthly_income,job_time_months,res_time_months,job_employment_status,job_title,job_company,job_verified,industry,term,fundedAmount,monthly_payment,make,model,year,loanStatus
L021204,3520.0,84.0,24.0,Full Time,INSTALLER,CUBE INSTALL INC,False,Construction,48.0,8076.85,301.8,JEEP,COMPASS,2012.0,ACTIVE
L021212,2400.0,4.0,12.0,Full Time,PRODUCTION,CORECENTRIC SOLUTION INC,False,Manufacturing,54.0,15181.3,581.32,Toyota,Camry,2013.0,ACTIVE
L021215,2640.0,1.0,12.0,Full Time,LABOR,M.M.D. INC / ALLSTAFF,False,Other Services,54.0,15925.9,600.4,Lincoln,MKS,2012.0,WRITE-OFF
L021216,2400.0,1.0,36.0,Full Time,LABOR,WORK  NOW,False,Other Services,57.0,16443.0,540.83,Ford,Escape,2015.0,ACTIVE
L021217,2560.0,12.0,108.0,Full Time,CLEANING,ROMERO RENOVATIONS,False,Construction,57.0,13802.6,522.13,Chevrolet,Cruze,2013.0,WRITE-OFF
L021250,3600.0,12.0,84.0,Full Time,COOK,JOHNSONS BLUE TOP,False,Hospitality,57.0,16543.0,624.41,Chrysler,300,2014.0,ACTIVE
L021252,6000.0,24.0,12.0,Full Time,TELECOMUNICATION TECHNICIA,TAK WEST SHORE,False,IT,60.0,18877.2,673.7,Honda,Accord,2015.0,WRITE-OFF
L021258,2560.0,1.0,12.0,Full Time,PACKER,SURESTAFF INC,False,Other Services,60.0,18712.0,631.51,HYUNDAI,TUCSON,2013.0,WRITE-OFF
L021400,4000.0,11.0,12.0,Full Time,PAINTER,SILVAS PAINTING,False,Construction,48.0,11888.2,515.97,Honda,CR-V,2011.0,ACTIVE
L021401,4800.0,36.0,60.0,Full Time,CARPENTER,ADOLFO VILLADA,False,Construction,60.0,17032.9,554.22,Ford,Taurus,2017.0,WRITE-OFF
L021403,2780.0,4.0,12.0,Full Time,MACHINE OPERATOR,AJR FILTRATION//METRO STAFF,False,Manufacturing,54.0,15968.7,551.99,Nissan,Pathfinder,2015.0,WRITE-OFF
L021405,3600.0,2.0,12.0,Full Time,LABOR,SUR STAFF INC,False,Other Services,48.0,14229.0,580.89,GMC,Terrain,2013.0,ACTIVE
L021407,2520.0,9.0,0.0,Full Time,MACHINE OPERATOR,AMERICAN DIVERSIFIED STAFFING,False,Manufacturing,54.0,16039.7,602.25,Honda,Civic,2015.0,WRITE-OFF
L022145,2400.0,1.0,12.0,Full Time,PACKING,ALLEGIANCE STAFFING,False,Other Services,57.0,17339.6,597.92,Nissan,JUKE,2012.0,CLOSED
L022366,3300.0,10.0,,,Labor,"Labor Personnel, LLC",False,Other Services,51.0,10683.7,422.48,Dodge,Journey,2012.0,ACTIVE
L022385,3614.0,13.0,24.0,,,Woodman's,False,Retail,50.0,13088.3,447.06,GMC,Terrain,2013.0,WRITE-OFF
L022403,3120.0,6.0,,,,Gloria's Cantina & Mexican Grill,False,Hospitality,57.0,13616.3,491.69,Hyundai,Elantra,2013.0,WRITE-OFF
L022409,3000.0,3.0,24.0,,,Jel Sert Co,False,Manufacturing,57.0,16172.6,605.33,Ford,Edge,2013.0,ACTIVE
